Mach Number,Reynolds Number,Angle of Attack,CL,CD,CM
0.25,0.0,11.0,1.8429,0.0,-0.1075
0.25,0.0,12.0,1.9767,0.0,-0.1086
0.25,0.0,13.0,2.1116,0.0,-0.1095
0.25,0.0,14.0,2.2478,0.0,-0.1101
0.25,0.0,15.0,2.3855,0.0,-0.1105
0.25,0.0,16.0,2.525,0.0,-0.1107
0.25,0.0,17.0,2.6666,0.0,-0.1106
0.25,0.0,18.0,2.8106,0.0,-0.1102
0.25,0.0,19.0,2.9574,0.0,-0.1095
0.25,0.0,20.0,3.1074,0.0,-0.1085
0.25,0.0,-20.0,-2.357,0.0,-0.0884
0.25,0.0,-19.0,-2.1959,0.0,-0.0844
0.25,0.0,-18.0,-2.0398,0.0,-0.081
0.25,0.0,-17.0,-1.8878,0.0,-0.0783
0.25,0.0,-16.0,-1.7394,0.0,-0.0761
0.25,0.0,-15.0,-1.5941,0.0,-0.0745
0.25,0.0,-14.0,-1.4515,0.0,-0.0733
0.25,0.0,-13.0,-1.3112,0.0,-0.0726
0.25,0.0,-12.0,-1.1728,0.0,-0.0723
0.25,0.0,-11.0,-1.0361,0.0,-0.0723
0.25,0.0,-10.0,-0.9009,0.0,-0.0726
0.25,0.0,-9.0,-0.7669,0.0,-0.0733
0.25,0.0,-8.0,-0.6339,0.0,-0.0742
0.25,0.0,-7.0,-0.5018,0.0,-0.0753
0.25,0.0,-6.0,-0.3704,0.0,-0.0766
0.25,0.0,-5.0,-0.2396,0.0,-0.0782
0.25,0.0,-4.0,-0.1093,0.0,-0.0798
0.25,0.0,-3.0,0.0207,0.0,-0.0816
0.25,0.0,-2.0,0.1503,0.0,-0.0835
0.25,0.0,-1.0,0.2797,0.0,-0.0855
0.25,0.0,0.0,0.409,0.0,-0.0875
0.25,0.0,1.0,0.5382,0.0,-0.0896
0.25,0.0,2.0,0.6674,0.0,-0.0917
0.25,0.0,3.0,0.7967,0.0,-0.0938
0.25,0.0,4.0,0.9261,0.0,-0.0958
0.25,0.0,5.0,1.0558,0.0,-0.0978
0.25,0.0,6.0,1.1857,0.0,-0.0997
0.25,0.0,7.0,1.316,0.0,-0.1015
0.25,0.0,8.0,1.4468,0.0,-0.1032
0.25,0.0,9.0,1.5781,0.0,-0.1048
0.25,0.0,10.0,1.7101,0.0,-0.1062
0.25,0.0,11.0,1.8429,0.0,-0.1075
0.25,0.0,12.0,1.9767,0.0,-0.1086
0.25,0.0,13.0,2.1116,0.0,-0.1095
0.25,0.0,14.0,2.2478,0.0,-0.1101
0.25,0.0,15.0,2.3855,0.0,-0.1105
0.25,0.0,16.0,2.525,0.0,-0.1107
0.25,0.0,17.0,2.6666,0.0,-0.1106
0.25,0.0,18.0,2.8106,0.0,-0.1102
0.25,0.0,19.0,2.9574,0.0,-0.1095
0.25,0.0,20.0,3.1074,0.0,-0.1085
0.25,0.0,-20.0,-2.357,0.0,-0.0884
0.25,0.0,-19.0,-2.1959,0.0,-0.0844
0.25,0.0,-18.0,-2.0398,0.0,-0.081
0.25,0.0,-17.0,-1.8878,0.0,-0.0783
0.25,0.0,-16.0,-1.7394,0.0,-0.0761
0.25,0.0,-15.0,-1.5941,0.0,-0.0745
0.25,0.0,-14.0,-1.4515,0.0,-0.0733
0.25,0.0,-13.0,-1.3112,0.0,-0.0726
0.25,0.0,-12.0,-1.1728,0.0,-0.0723
0.25,0.0,-11.0,-1.0361,0.0,-0.0723
0.25,0.0,-10.0,-0.9009,0.0,-0.0726
0.25,0.0,-9.0,-0.7669,0.0,-0.0733
0.25,0.0,-8.0,-0.6339,0.0,-0.0742
0.25,0.0,-7.0,-0.5018,0.0,-0.0753
0.25,0.0,-6.0,-0.3704,0.0,-0.0766
0.25,0.0,-5.0,-0.2396,0.0,-0.0782
0.25,0.0,-4.0,-0.1093,0.0,-0.0798
0.25,0.0,-3.0,0.0207,0.0,-0.0816
0.25,0.0,-2.0,0.1503,0.0,-0.0835
0.25,0.0,-1.0,0.2797,0.0,-0.0855
0.25,0.0,0.0,0.409,0.0,-0.0875
0.25,0.0,1.0,0.5382,0.0,-0.0896
0.25,0.0,2.0,0.6674,0.0,-0.0917
0.25,0.0,3.0,0.7967,0.0,-0.0938
0.25,0.0,4.0,0.9261,0.0,-0.0958
0.25,0.0,5.0,1.0558,0.0,-0.0978
0.25,0.0,6.0,1.1857,0.0,-0.0997
0.25,0.0,7.0,1.316,0.0,-0.1015
0.25,0.0,8.0,1.4468,0.0,-0.1032
0.25,0.0,9.0,1.5781,0.0,-0.1048
0.25,0.0,10.0,1.7101,0.0,-0.1062
0.25,0.0,11.0,1.8429,0.0,-0.1075
0.25,0.0,12.0,1.9767,0.0,-0.1086
0.25,0.0,13.0,2.1116,0.0,-0.1095
0.25,0.0,14.0,2.2478,0.0,-0.1101
0.25,0.0,15.0,2.3855,0.0,-0.1105
0.25,0.0,16.0,2.525,0.0,-0.1107
0.25,0.0,17.0,2.6666,0.0,-0.1106
0.25,0.0,18.0,2.8106,0.0,-0.1102
0.25,0.0,19.0,2.9574,0.0,-0.1095
0.25,0.0,20.0,3.1074,0.0,-0.1085
0.25,0.0,-20.0,-2.357,0.0,-0.0884
0.25,0.0,-19.0,-2.1959,0.0,-0.0844
0.25,0.0,-18.0,-2.0398,0.0,-0.081
0.25,0.0,-17.0,-1.8878,0.0,-0.0783
0.25,0.0,-16.0,-1.7394,0.0,-0.0761
0.25,0.0,-15.0,-1.5941,0.0,-0.0745
0.25,0.0,-14.0,-1.4515,0.0,-0.0733
0.25,0.0,-13.0,-1.3112,0.0,-0.0726
0.25,0.0,-12.0,-1.1728,0.0,-0.0723
0.25,0.0,-11.0,-1.0361,0.0,-0.0723
0.25,0.0,-10.0,-0.9009,0.0,-0.0726
0.25,0.0,-9.0,-0.7669,0.0,-0.0733
0.25,0.0,-8.0,-0.6339,0.0,-0.0742
0.25,0.0,-7.0,-0.5018,0.0,-0.0753
0.25,0.0,-6.0,-0.3704,0.0,-0.0766
0.25,0.0,-5.0,-0.2396,0.0,-0.0782
0.25,0.0,-4.0,-0.1093,0.0,-0.0798
0.25,0.0,-3.0,0.0207,0.0,-0.0816
0.25,0.0,-2.0,0.1503,0.0,-0.0835
0.25,0.0,-1.0,0.2797,0.0,-0.0855
0.25,0.0,0.0,0.409,0.0,-0.0875
0.25,0.0,1.0,0.5382,0.0,-0.0896
0.25,0.0,2.0,0.6674,0.0,-0.0917
0.25,0.0,3.0,0.7967,0.0,-0.0938
0.25,0.0,4.0,0.9261,0.0,-0.0958
0.25,0.0,5.0,1.0558,0.0,-0.0978
0.25,0.0,6.0,1.1857,0.0,-0.0997
0.25,0.0,7.0,1.316,0.0,-0.1015
0.25,0.0,8.0,1.4468,0.0,-0.1032
0.25,0.0,9.0,1.5781,0.0,-0.1048
0.25,0.0,10.0,1.7101,0.0,-0.1062
0.25,0.0,11.0,1.8429,0.0,-0.1075
0.25,0.0,12.0,1.9767,0.0,-0.1086
0.25,0.0,13.0,2.1116,0.0,-0.1095
0.25,0.0,14.0,2.2478,0.0,-0.1101
0.25,0.0,15.0,2.3855,0.0,-0.1105
0.25,0.0,16.0,2.525,0.0,-0.1107
0.25,0.0,17.0,2.6666,0.0,-0.1106
0.25,0.0,18.0,2.8106,0.0,-0.1102
0.25,0.0,19.0,2.9574,0.0,-0.1095
0.25,0.0,20.0,3.1074,0.0,-0.1085
0.25,0.0,-20.0,-2.357,0.0,-0.0884
0.25,0.0,-19.0,-2.1959,0.0,-0.0844
0.25,0.0,-18.0,-2.0398,0.0,-0.081
0.25,0.0,-17.0,-1.8878,0.0,-0.0783
0.25,0.0,-16.0,-1.7394,0.0,-0.0761
0.25,0.0,-15.0,-1.5941,0.0,-0.0745
0.25,0.0,-14.0,-1.4515,0.0,-0.0733
0.25,0.0,-13.0,-1.3112,0.0,-0.0726
0.25,0.0,-12.0,-1.1728,0.0,-0.0723
0.25,0.0,-11.0,-1.0361,0.0,-0.0723
0.25,0.0,-10.0,-0.9009,0.0,-0.0726
0.25,0.0,-9.0,-0.7669,0.0,-0.0733
0.25,0.0,-8.0,-0.6339,0.0,-0.0742
0.25,0.0,-7.0,-0.5018,0.0,-0.0753
0.25,0.0,-6.0,-0.3704,0.0,-0.0766
0.25,0.0,-5.0,-0.2396,0.0,-0.0782
0.25,0.0,-4.0,-0.1093,0.0,-0.0798
0.25,0.0,-3.0,0.0207,0.0,-0.0816
0.25,0.0,-2.0,0.1503,0.0,-0.0835
0.25,0.0,-1.0,0.2797,0.0,-0.0855
0.25,0.0,0.0,0.409,0.0,-0.0875
0.25,0.0,1.0,0.5382,0.0,-0.0896
0.25,0.0,2.0,0.6674,0.0,-0.0917
0.25,0.0,3.0,0.7967,0.0,-0.0938
0.25,0.0,4.0,0.9261,0.0,-0.0958
0.25,0.0,5.0,1.0558,0.0,-0.0978
0.25,0.0,6.0,1.1857,0.0,-0.0997
0.25,0.0,7.0,1.316,0.0,-0.1015
0.25,0.0,8.0,1.4468,0.0,-0.1032
0.25,0.0,9.0,1.5781,0.0,-0.1048
0.25,0.0,10.0,1.7101,0.0,-0.1062
0.25,0.0,11.0,1.8429,0.0,-0.1075
0.25,0.0,12.0,1.9767,0.0,-0.1086
0.25,0.0,13.0,2.1116,0.0,-0.1095
0.25,0.0,14.0,2.2478,0.0,-0.1101
0.25,0.0,15.0,2.3855,0.0,-0.1105
0.25,0.0,16.0,2.525,0.0,-0.1107
0.25,0.0,17.0,2.6666,0.0,-0.1106
0.25,0.0,18.0,2.8106,0.0,-0.1102
0.25,0.0,19.0,2.9574,0.0,-0.1095
0.25,0.0,20.0,3.1074,0.0,-0.1085
0.35,0.0,-20.0,-2.9009,0.0,-0.1596
0.35,0.0,-19.0,-2.6294,0.0,-0.141
0.35,0.0,-18.0,-2.3885,0.0,-0.1263
0.35,0.0,-17.0,-2.1702,0.0,-0.1146
0.35,0.0,-16.0,-1.9693,0.0,-0.1053
0.35,0.0,-15.0,-1.7819,0.0,-0.098
0.35,0.0,-14.0,-1.605,0.0,-0.0922
0.35,0.0,-13.0,-1.4367,0.0,-0.0878
0.35,0.0,-12.0,-1.2752,0.0,-0.0845
0.35,0.0,-11.0,-1.1192,0.0,-0.0822
0.35,0.0,-10.0,-0.9678,0.0,-0.0807
0.35,0.0,-9.0,-0.82,0.0,-0.0799
0.35,0.0,-8.0,-0.6752,0.0,-0.0797
0.35,0.0,-7.0,-0.5329,0.0,-0.08
0.35,0.0,-6.0,-0.3925,0.0,-0.0808
0.35,0.0,-5.0,-0.2537,0.0,-0.0819
0.35,0.0,-4.0,-0.1161,0.0,-0.0833
0.35,0.0,-3.0,0.0206,0.0,-0.085
0.35,0.0,-2.0,0.1566,0.0,-0.0868
0.35,0.0,-1.0,0.2922,0.0,-0.0888
0.35,0.0,0.0,0.4276,0.0,-0.0909
0.35,0.0,1.0,0.5629,0.0,-0.093
0.35,0.0,2.0,0.6985,0.0,-0.0952
0.35,0.0,3.0,0.8345,0.0,-0.0972
